date,series,val_geom_mt,val_vlm_ensemble_mt,val_trajectory_mt,final_reconciled_mt,confidence,is_intersection_zone,audit_status,decision_reason
2022-08-01,Alang,37313.4,32748.2,37313.4,36628.6,94.0,False,PASS,Clean zone; anchored to calibrated pixel ground truth
2022-09-01,Alang,37313.4,51763.9,37313.4,39481.0,94.0,False,PASS,Clean zone; anchored to calibrated pixel ground truth
2022-10-01,Alang,37313.4,66453.6,44403.0,41684.5,94.0,False,PASS,Clean zone; anchored to calibrated pixel ground truth
2022-11-01,Alang,71641.8,82685.1,61194.0,61194.0,88.5,True,REVIEW_REQUIRED,"Intersection zone with Chattogram; ambiguous pixel occlusion (dev > 15%), quarantined for verification"
2022-12-01,Alang,91791.0,80741.6,105970.1,90133.6,94.0,False,PASS,Clean zone; anchored to calibrated pixel ground truth
2023-01-01,Alang,98507.5,82026.9,90397.3,96035.4,94.0,False,PASS,Clean zone; anchored to calibrated pixel ground truth
2023-02-01,Alang,91044.8,82480.5,123683.1,89331.9,94.2,False,PASS,Clean zone; pixel-calibrated geometry verified by VLM ensemble
2023-03-01,Alang,113235.3,74167.1,94776.1,107375.1,94.0,False,PASS,Clean zone; anchored to calibrated pixel ground truth
2023-04-01,Alang,84328.4,65698.7,101295.0,101295.0,88.5,True,REVIEW_REQUIRED,"Intersection zone with Chattogram; ambiguous pixel occlusion (dev > 15%), quarantined for verification"
2023-05-01,Alang,62686.6,56608.1,52337.6,61470.9,94.1,False,PASS,Clean zone; pixel-calibrated geometry verified by VLM ensemble
2023-06-01,Alang,58209.0,61646.0,49626.9,58896.4,95.6,False,PASS,Clean zone; pixel-calibrated geometry verified by VLM ensemble
2023-07-01,Alang,67164.2,64718.1,65298.5,66675.0,96.5,False,PASS,Clean zone; pixel-calibrated geometry verified by VLM ensemble
2023-08-01,Alang,76119.4,73982.3,80597.0,77910.4,93.8,True,PASS,Intersection zone with Chattogram; trajectory momentum confirmed geometric continuity (5.6% dev)
