date,series,val_geom_mt,val_vlm_mt,reconciled_mt,delta_pct,confidence,reconciled_by_debate,audit_status
2022-08-01,Alang,37128.7,26000.0,37128.7,35.26,86.0,False,REVIEW_REQUIRED
2022-09-01,Alang,37128.7,73554.8,37128.7,65.82,86.0,False,REVIEW_REQUIRED
2022-10-01,Alang,37128.7,76437.1,37128.7,69.23,86.0,False,REVIEW_REQUIRED
2022-11-01,Alang,71287.1,110177.0,71287.1,42.86,86.0,False,REVIEW_REQUIRED
2022-12-01,Alang,91336.6,143754.2,91336.6,44.59,86.0,False,REVIEW_REQUIRED
2023-01-01,Alang,98019.8,131612.1,98019.8,29.26,86.0,False,REVIEW_REQUIRED
2023-02-01,Alang,90594.1,93354.1,91422.1,3.0,95.0,True,PASS
2023-03-01,Alang,112871.3,70400.3,112871.3,46.35,86.0,False,REVIEW_REQUIRED
2023-04-01,Alang,83910.9,83854.3,83893.9,0.07,97.9,True,PASS
2023-05-01,Alang,62376.2,121346.5,62376.2,64.19,86.0,False,REVIEW_REQUIRED
2023-06-01,Alang,57920.8,148406.8,57920.8,87.71,86.0,False,REVIEW_REQUIRED
2023-07-01,Alang,66831.7,140156.1,66831.7,70.85,86.0,False,REVIEW_REQUIRED
2023-08-01,Alang,75742.6,104180.0,75742.6,31.61,86.0,False,REVIEW_REQUIRED
2023-09-01,Alang,74257.4,73554.8,74046.6,0.95,97.0,True,PASS
2023-10-01,Alang,65346.5,76437.1,68119.2,15.64,84.2,True,PASS
2023-11-01,Alang,144059.4,110177.0,144059.4,26.65,86.0,False,REVIEW_REQUIRED
2023-12-01,Alang,72772.3,143754.2,72772.3,65.56,86.0,False,REVIEW_REQUIRED
2024-01-01,Alang,74257.4,131612.1,74257.4,55.72,86.0,False,REVIEW_REQUIRED
2024-02-01,Alang,74257.4,93354.1,74257.4,22.79,86.0,False,REVIEW_REQUIRED
2024-03-01,Alang,25990.1,70400.3,25990.1,92.15,86.0,False,REVIEW_REQUIRED
2024-04-01,Alang,68316.8,83854.3,68316.8,20.42,86.0,False,REVIEW_REQUIRED
2024-05-01,Alang,96534.7,258000.0,96534.7,91.09,86.0,False,REVIEW_REQUIRED
2024-06-01,Alang,219802.0,148406.8,219802.0,38.78,86.0,False,REVIEW_REQUIRED
2024-07-01,Alang,51980.2,140156.1,51980.2,91.78,86.0,False,REVIEW_REQUIRED
2024-08-01,Alang,49009.9,104180.0,49009.9,72.03,86.0,False,REVIEW_REQUIRED
2024-09-01,Alang,69802.0,73554.8,70927.8,5.24,92.8,True,PASS
2024-10-01,Alang,59405.9,76437.1,59405.9,25.07,86.0,False,REVIEW_REQUIRED
2024-11-01,Alang,95049.5,110177.0,98831.4,14.74,84.6,True,PASS
2024-12-01,Alang,90594.1,143754.2,90594.1,45.37,86.0,False,REVIEW_REQUIRED
2025-01-01,Alang,96534.7,131612.1,96534.7,30.75,86.0,False,REVIEW_REQUIRED
2025-02-01,Alang,144802.0,93354.1,144802.0,43.21,86.0,False,REVIEW_REQUIRED
2025-03-01,Alang,89108.9,70400.3,89108.9,23.46,86.0,False,REVIEW_REQUIRED
2025-04-01,Alang,49752.5,83854.3,49752.5,51.05,86.0,False,REVIEW_REQUIRED
2025-05-01,Alang,32673.3,121346.5,32673.3,115.15,86.0,False,REVIEW_REQUIRED
2025-06-01,Alang,80198.0,148406.8,80198.0,59.67,86.0,False,REVIEW_REQUIRED
2025-07-01,Alang,136633.7,140156.1,137690.4,2.55,95.5,True,PASS
2025-08-01,Alang,126237.6,104180.0,120723.2,19.15,82.4,True,PASS
2025-09-01,Alang,181188.1,73554.8,181188.1,84.5,86.0,False,REVIEW_REQUIRED
2025-10-01,Alang,190099.0,76437.1,190099.0,85.29,86.0,False,REVIEW_REQUIRED
2025-11-01,Alang,148514.9,192000.0,148514.9,25.54,86.0,False,REVIEW_REQUIRED
2025-12-01,Alang,31188.1,143754.2,31188.1,128.69,86.0,False,REVIEW_REQUIRED
2026-01-01,Alang,83168.3,131612.1,83168.3,45.11,86.0,False,REVIEW_REQUIRED
2026-02-01,Alang,130693.1,93354.1,130693.1,33.33,86.0,False,REVIEW_REQUIRED
2026-03-01,Alang,74257.4,70400.3,73100.3,5.33,92.7,True,PASS
2026-04-01,Alang,84653.5,83854.3,84413.7,0.95,97.1,True,PASS
2026-05-01,Alang,62376.2,172000.0,62376.2,93.55,86.0,False,REVIEW_REQUIRED
2026-06-01,Alang,159653.5,148406.8,156279.5,7.3,90.7,True,PASS
2026-07-01,Alang,123267.3,140156.1,127489.5,12.82,85.6,True,PASS
2026-08-01,Alang,123267.3,101800.0,117900.5,19.08,82.5,True,PASS
2022-08-01,Chattogram,75742.6,91000.0,79556.9,18.3,82.8,True,PASS
2022-09-01,Chattogram,75742.6,109424.1,75742.6,36.38,86.0,False,REVIEW_REQUIRED
2022-10-01,Chattogram,75742.6,75959.3,75807.6,0.29,97.7,True,PASS
2022-11-01,Chattogram,63118.8,215000.0,63118.8,109.22,86.0,False,REVIEW_REQUIRED
2022-12-01,Chattogram,150000.0,76219.9,150000.0,65.23,86.0,False,REVIEW_REQUIRED
2023-01-01,Chattogram,25990.1,124451.5,25990.1,130.9,86.0,False,REVIEW_REQUIRED
2023-02-01,Chattogram,49752.5,126825.4,49752.5,87.3,86.0,False,REVIEW_REQUIRED
