date,series,val_geom_mt,val_landmark_mt,val_integral_mt,final_reconciled_mt,confidence,audit_status,decision_reason
2022-08-01,Alang,37313.4,26000.0,40000.0,38253.7,91.1,PASS,Pairwise consensus (7.2% delta); Extractor 2 (Landmark) overruled
2022-09-01,Alang,37313.4,54304.3,50000.0,52152.2,87.6,PASS,Pairwise consensus (8.6% delta); Extractor 1 (Geometric) overruled
2022-10-01,Alang,37313.4,81695.7,50000.0,37313.4,88.0,REVIEW_REQUIRED,Multi-model divergence (min delta 25.4% > 10.0% threshold); anchored to calibrated pixels
2022-11-01,Alang,71641.8,110000.0,57500.0,71641.8,92.5,PASS,Multi-model divergence (min delta 19.7% > 10.0% threshold); anchored to calibrated pixels -> Verified by 2nd Critic Pass (Temporal Continuity)
2022-12-01,Alang,91791.0,111630.4,50000.0,91791.0,92.5,PASS,Multi-model divergence (min delta 21.6% > 10.0% threshold); anchored to calibrated pixels -> Verified by 2nd Critic Pass (Temporal Continuity)
2023-01-01,Alang,98507.5,113315.2,50000.0,98507.5,92.5,PASS,Multi-model divergence (min delta 15.0% > 10.0% threshold); anchored to calibrated pixels -> Verified by 2nd Critic Pass (Temporal Continuity)
2023-02-01,Alang,91044.8,115000.0,50000.0,91044.8,92.5,PASS,Multi-model divergence (min delta 26.3% > 10.0% threshold); anchored to calibrated pixels -> Verified by 2nd Critic Pass (Temporal Continuity)
2023-03-01,Alang,113235.3,96123.6,50000.0,113235.3,88.0,REVIEW_REQUIRED,Multi-model divergence (min delta 17.8% > 10.0% threshold); anchored to calibrated pixels
2023-04-01,Alang,84328.4,75224.7,57500.0,84328.4,92.5,PASS,Multi-model divergence (min delta 12.1% > 10.0% threshold); anchored to calibrated pixels -> Verified by 2nd Critic Pass (Temporal Continuity)
2023-05-01,Alang,62686.6,55000.0,57500.0,56250.0,89.3,PASS,Pairwise consensus (4.3% delta); Extractor 1 (Geometric) overruled
2023-06-01,Alang,58209.0,72690.2,50000.0,58209.0,92.5,PASS,Multi-model divergence (min delta 14.1% > 10.0% threshold); anchored to calibrated pixels -> Verified by 2nd Critic Pass (Temporal Continuity)
2023-07-01,Alang,67164.2,89809.8,40000.0,67164.2,92.5,PASS,Multi-model divergence (min delta 33.7% > 10.0% threshold); anchored to calibrated pixels -> Verified by 2nd Critic Pass (Temporal Continuity)
2023-08-01,Alang,76119.4,107500.0,40000.0,76119.4,92.5,PASS,Multi-model divergence (min delta 41.2% > 10.0% threshold); anchored to calibrated pixels -> Verified by 2nd Critic Pass (Temporal Continuity)
