date,year,month,volume_kt,hist_5y_min,hist_5y_max,hist_5y_mean
2017-01-01,2017,1,3850.0,3465.0,4235.0,3850.0
2017-02-01,2017,2,4120.0,3708.0,4532.0,4120.0
2017-03-01,2017,3,4560.0,4104.0,5016.0,4560.0
2017-04-01,2017,4,4320.0,3888.0,4752.0,4320.0
2017-05-01,2017,5,4180.0,3762.0,4598.0,4180.0
2017-06-01,2017,6,3950.0,3555.0,4345.0,3950.0
2017-07-01,2017,7,3120.0,2808.0,3432.0,3120.0
2017-08-01,2017,8,2950.0,2655.0,3245.0,2950.0
2017-09-01,2017,9,3450.0,3105.0,3795.0,3450.0
2017-10-01,2017,10,4890.0,4401.0,5379.0,4890.0
2017-11-01,2017,11,5210.0,4689.0,5731.0,5210.0
2017-12-01,2017,12,6120.0,5508.0,6732.0,6120.0
2018-01-01,2018,1,4950.0,3850.0,3850.0,3850.0
2018-02-01,2018,2,5120.0,4120.0,4120.0,4120.0
2018-03-01,2018,3,5670.0,4560.0,4560.0,4560.0
2018-04-01,2018,4,5340.0,4320.0,4320.0,4320.0
2018-05-01,2018,5,5120.0,4180.0,4180.0,4180.0
2018-06-01,2018,6,4890.0,3950.0,3950.0,3950.0
2018-07-01,2018,7,3850.0,3120.0,3120.0,3120.0
2018-08-01,2018,8,3620.0,2950.0,2950.0,2950.0
2018-09-01,2018,9,4120.0,3450.0,3450.0,3450.0
2018-10-01,2018,10,5780.0,4890.0,4890.0,4890.0
2018-11-01,2018,11,5980.0,5210.0,5210.0,5210.0
2018-12-01,2018,12,6890.0,6120.0,6120.0,6120.0
2019-01-01,2019,1,5890.0,3850.0,4950.0,4400.0
2019-02-01,2019,2,6120.0,4120.0,5120.0,4620.0
2019-03-01,2019,3,6780.0,4560.0,5670.0,5115.0
2019-04-01,2019,4,6450.0,4320.0,5340.0,4830.0
2019-05-01,2019,5,6210.0,4180.0,5120.0,4650.0
2019-06-01,2019,6,5890.0,3950.0,4890.0,4420.0
2019-07-01,2019,7,4620.0,3120.0,3850.0,3485.0
2019-08-01,2019,8,4350.0,2950.0,3620.0,3285.0
2019-09-01,2019,9,4980.0,3450.0,4120.0,3785.0
2019-10-01,2019,10,6780.0,4890.0,5780.0,5335.0
2019-11-01,2019,11,7120.0,5210.0,5980.0,5595.0
2019-12-01,2019,12,8210.0,6120.0,6890.0,6505.0
2020-01-01,2020,1,6780.0,3850.0,5890.0,4896.7
2020-02-01,2020,2,7010.0,4120.0,6120.0,5120.0
2020-03-01,2020,3,7890.0,4560.0,6780.0,5670.0
2020-04-01,2020,4,7450.0,4320.0,6450.0,5370.0
2020-05-01,2020,5,7120.0,4180.0,6210.0,5170.0
2020-06-01,2020,6,6890.0,3950.0,5890.0,4910.0
2020-07-01,2020,7,5420.0,3120.0,4620.0,3863.3
2020-08-01,2020,8,5120.0,2950.0,4350.0,3640.0
2020-09-01,2020,9,5890.0,3450.0,4980.0,4183.3
2020-10-01,2020,10,7890.0,4890.0,6780.0,5816.7
2020-11-01,2020,11,8210.0,5210.0,7120.0,6103.3
2020-12-01,2020,12,9540.0,6120.0,8210.0,7073.3
2021-01-01,2021,1,7500.0,3850.0,6780.0,5367.5
2021-02-01,2021,2,6200.0,4120.0,7010.0,5592.5
2021-03-01,2021,3,7000.0,4560.0,7890.0,6225.0
2021-04-01,2021,4,6800.0,4320.0,7450.0,5890.0
2021-05-01,2021,5,6900.0,4180.0,7120.0,5657.5
2021-06-01,2021,6,6700.0,3950.0,6890.0,5405.0
2021-07-01,2021,7,5800.0,3120.0,5420.0,4252.5
2021-08-01,2021,8,6200.0,2950.0,5120.0,4010.0
2021-09-01,2021,9,4700.0,3450.0,5890.0,4610.0
2021-10-01,2021,10,5800.0,4890.0,7890.0,6335.0
2021-11-01,2021,11,6900.0,5210.0,8210.0,6630.0
2021-12-01,2021,12,9200.0,6120.0,9540.0,7690.0
2022-01-01,2022,1,7000.0,3850.0,7500.0,5794.0
2022-02-01,2022,2,7400.0,4120.0,7010.0,5714.0
2022-03-01,2022,3,8600.0,4560.0,7890.0,6380.0
2022-04-01,2022,4,7200.0,4320.0,7450.0,6072.0
2022-05-01,2022,5,8600.0,4180.0,7120.0,5906.0
2022-06-01,2022,6,7800.0,3950.0,6890.0,5664.0
